ora,Elevazione,Azimut
05:18:54,-0.833,57.79
05:40:00,2.63,61.17
06:00:00,6.01,64.27
06:20:00,9.49,67.3
06:40:00,13.04,70.26
07:00:00,16.66,73.18
07:20:00,20.33,76.08
07:40:00,24.05,78.98
08:00:00,27.81,81.91
08:20:00,31.59,84.9
08:40:00,35.4,87.98
09:00:00,39.21,91.2
09:20:00,43.01,94.6
09:40:00,46.8,98.27
10:00:00,50.55,102.28
10:20:00,54.24,106.75
10:40:00,57.83,111.86
11:00:00,61.29,117.83
11:20:00,64.54,124.95
11:40:00,67.5,133.61
12:00:00,70.01,144.25
12:20:00,71.88,157.12
12:40:00,72.9,171.95
13:00:00,72.92,187.6
13:20:00,71.92,202.48
13:40:00,70.07,215.41
14:00:00,67.58,226.1
14:20:00,64.63,234.82
14:40:00,61.38,241.98
15:00:00,57.93,247.97
15:20:00,54.34,253.1
15:40:00,50.65,257.59
16:00:00,46.9,261.61
16:20:00,43.12,265.28
16:40:00,39.31,268.7
17:00:00,35.5,271.92
17:20:00,31.7,275
17:40:00,27.91,277.99
18:00:00,24.15,280.92
18:20:00,20.43,283.82
18:40:00,16.75,286.72
19:00:00,13.13,289.64
19:20:00,9.58,292.6
19:40:00,6.1,295.62
20:00:00,2.71,298.73
20:21:35,-0.833,302.19
